"","site_id","province","latitude_y","longtitude_x","region","land_class","depth_filled","depth","full_wetland_area_m2","total_em_area_m2","total_mass_Mg","aerial_gpp","aerial_r","aerial_nep","flux_co2","flux_ch4","flux_n2o","pl_flux_co2","log_flux_ch4","pl_flux_n2o","gwp_co2","gwp_ch4","gwp_n2o","gwp_sum","pl_gwp_co2","log_gwp_ch4","pl_gwp_n2o","pl_gwp_sum","total_density","wetlandBirdRichness","wetlandArea_250m","wetlandArea_500m","wetlandArea_1km","wetlandArea_5km"
"33","AB02","AB",53.1298770000001,-112.797618,NA,"Cropland",75.0892857142857,84.1,79068.5896700262,17861.5500400508,23.7632715739105,20.0258803951025,34.3258103670129,-14.2999299719104,6.27666666666667,8.26666666666667,0,0.308897465562789,0.917330426106554,0,276.173333333333,4497.06666666667,0,4773.24,0.137651552194173,3.65292932580473,0,1.60427950026094,0.300539970082694,25,64113.384459189,117647.531729862,372276.145731825,10374964.1958486
"34","AB03","AB",53.1308560000001,-112.795297,NA,"Cropland",73.8761904761905,81.2357142857143,31143.3508341039,11994.709521921,17.650802252406,23.7393059749924,32.9714182389234,-9.23211226393099,12.6433333333333,61.6766666666667,-0.00333333333333333,0.596211213773519,1.79012089410594,-1.28379566274319,556.306666666667,33552.1066666667,-43.7066666666666,34064.7066666667,0.274685992223422,4.52571979380412,-1.52357456342408,3.52912251001421,0.566759895119484,20,47314.7277379127,121523.796517691,351604.380494802,10258573.8266242
"35","AB04","AB",53.1362480000001,-112.802011,NA,"Grassland",78.4107142857143,87.5857142857143,10294.5839202134,2168.46137554897,1.59787687205845,10.0841535836715,27.5778235081859,-17.4936699245144,244.543333333333,44.6733333333333,0.0166666666666667,3.19847545428392,1.65004835888023,2.81699143082544,10759.9066666667,24302.2933333333,218.533333333333,35280.7333333333,2.38435447323368,4.38564725857841,3.08644086061837,3.56413943758024,0.155215294220976,19,61994.451254056,136617.70618941,317286.385645189,10281445.77481
"36","AB05","AB",53.136036,-112.800522,NA,"Grassland",73.3888888888889,81.65,17195.2699071029,5308.03174615029,5.93240309749671,22.6442623521566,34.2322434834808,-11.5879811313242,66.86,27.0666666666667,0.00333333333333333,1.92167047947297,1.43243477452151,1.28379566274319,2941.84,14724.2666666667,43.7066666666666,17709.8133333333,1.17852352973562,4.16803367421969,1.52357456342408,2.8772921642772,0.345002034253977,19,55153.6735680666,137971.790574386,301865.963773964,10269598.3248473
"37","AB06","AB",53.1798200000001,-112.910165,NA,"Grassland",70.9333333333333,96.9,11802.7941877212,310.002542741134,0.329874713386553,7.05345812388423,10.1802453922523,-3.1267872683681,29.11,2.59,0,1.1698228541206,0.413299764081252,0,1280.84,1408.96,0,2689.8,0.603174453069735,3.14889866377943,0,1.10553307443346,0.027948866017653,27,43103.3602469626,179934.020475138,429275.708450485,9627265.17324395
"38","AB07","AB",53.1356470000001,-112.870127,NA,"Grassland",45.3857142857143,36.5357142857143,34569.3725502415,NA,NA,14.8081509676166,28.5906933264575,-13.7825423588409,234.5,35.4866666666667,0.00666666666666666,3.15668405859597,1.55006520711707,1.91889647209853,10318,19304.7466666667,87.4133333333333,29710.16,2.34315339367575,4.28566410681525,2.18090018446998,3.39262005044029,NA,21,36197.5839857953,162543.0500381,374326.10138021,11487402.1106053
"39","AB08","AB",53.1534520000001,-112.97187,NA,"Cropland",96.8,96.8,NA,NA,NA,8.00602798294367,21.4782274483675,-13.4721994654238,171.28,83,0.02,2.84410593705383,1.91907809237607,2.99822295029797,7536.32,45152,262.24,52950.56,2.03689322831456,4.65467699207425,3.2681259867806,3.96971512102316,NA,19,14566.5565653011,80856.9844159173,354006.293190302,8574686.69348538
"40","AB09","AB",53.154903,-112.971099,NA,"Cropland",97.3,97.3,NA,NA,NA,10.1356499038895,11.8584937184415,-1.72284381455209,141.93,44.135,0.01,2.6576765491142,1.64478313092336,2.31243834127275,6244.92,24009.44,131.12,30385.48,1.85647643087508,4.38038203062154,2.57929424510971,3.41504620541048,NA,20,27028.6130105904,117410.17952771,450798.569255733,8668300.8168666
"41","AB10","AB",53.188274,-112.857134,NA,"Cropland",57.8238095238095,57.8238095238095,9813.94623528875,2468.0228542364,0.985406200652417,17.0554210270095,21.9411512031542,-4.88573017614468,2.172297580375,3.74719506775,-0.00502372275,0.108402446417045,0.573706301752013,-1.65162736407043,95.5810935365,2038.474116856,-65.871052698,2068.1841576945,0.0477723736786011,3.30930520145019,-1.90740255562886,0.905276046650707,0.100408762899996,19,23315.8340016112,116956.52544851,289052.933886405,10667295.4690484
"42","AB11","AB",53.188609,-112.859274,NA,"Cropland",97.4,97.4,4473.2632615678,2519.7724941781,1.55078780821219,10.8065500330454,25.615378896131,-14.8088288630855,356.088085842857,35.7458629285714,0.000956229428571428,3.57338075953347,1.55322578568227,0.46155186700246,15667.8757770857,19445.7494331429,12.5380802674286,35126.163290496,2.75566143172264,4.28882468538045,0.591757594946099,3.55975573519852,0.346679307148282,18,28841.2161443633,72889.4227802937,294088.801317512,10675234.3244756
"43","AB12","AB",53.188433,-112.861931,NA,"Cropland",97.8,97.8,10936.1161566877,4706.51318038279,3.49683022641153,6.88844828562823,15.7165970193323,-8.82814873370404,396.240117342857,3.88592983171429,0.00196408685714285,3.68007160118981,0.589494954273434,0.868619204580099,17434.5651630857,2113.94582845257,25.753106870857,19574.2640984091,2.86172848483475,3.32509385397161,1.07090187477923,2.97681541998587,0.319750647881801,15,22958.7860926882,55147.2599016712,272567.302286162,10627058.554758
"44","AB13","AB",53.021982,-112.969,NA,"Grassland",100.8,100.8,12140.8521209471,NA,NA,26.1224247942257,42.4117643076135,-16.2893395133878,181.636666666667,12.2733333333333,0.0233333333333333,2.90244062192764,1.08896252944833,3.15171464823922,7992.01333333333,6676.69333333333,305.946666666667,14974.6533333333,2.0937435663717,3.82456142914651,3.42189233154905,2.71078895834591,NA,17,43856.8239991611,119260.069921621,479004.40286498,11313696.4604799
